id,track_id,track_artist,artist_clean,track_name,track_name_clean,artist_track_key,energy,tempo,danceability,playlist_genre,loudness,liveness,valence,time_signature,speechiness,track_popularity,track_href,uri,track_album_name,track_album_release_date,instrumentalness,track_album_id,mode,key,duration_ms,acousticness,type
6hTcuIQa0sxrrByu9wTD7s,6hTcuIQa0sxrrByu9wTD7s,bruce springsteen,bruce springsteen,born to run,born to run,bruce springsteen_born to run,0.944,146.347,0.27,rock,-4.199,0.116,0.606,4,0.0975,70,https://api.spotify.com/v1/tracks/6hTcuIQa0sxrrByu9wTD7s,spotify:track:6hTcuIQa0sxrrByu9wTD7s,Born To Run,1975-08-25T00:00:00Z,2.05E-5,43YIoHKSrEw2GJsWmhZIpu,1,4,269920,0.00501,audio_features
648TTtYB0bH0P8Hfy0FmkL,648TTtYB0bH0P8Hfy0FmkL,nat king cole,nat king cole,unforgettable,unforgettable,nat king cole_unforgettable,0.182,136.094,0.349,jazz,-13.507,0.143,0.178,3,0.031,69,https://api.spotify.com/v1/tracks/648TTtYB0bH0P8Hfy0FmkL,spotify:track:648TTtYB0bH0P8Hfy0FmkL,Unforgettable,1954-01-01T00:00:00Z,0.0152,7GBvXtxnvBluo2f4xBVNkm,1,5,191973,0.92,audio_features
2xizRhme7pYeITbH1NLLGt,2xizRhme7pYeITbH1NLLGt,"pyotr ilyich tchaikovsky, andré previn, london symphony orchestra",pyotr ilyich tchaikovsky andre previn london symphony orchestra,"tchaikovsky: swan lake, op. 20, act 2: no. 10, scene. moderato",tchaikovsky swan lake op 20 act 2 no 10 scene moderato,pyotr ilyich tchaikovsky andre previn london symphony orchestra_tchaikovsky swan lake op 20 act 2 no 10 scene moderato,0.164,58.303,0.136,classical,-18.756,0.109,0.071,4,0.0364,68,https://api.spotify.com/v1/tracks/2xizRhme7pYeITbH1NLLGt,spotify:track:2xizRhme7pYeITbH1NLLGt,Tchaikovsky: Swan Lake,1976-01-01T00:00:00Z,0.916,7dVA06E7AP7P7VzPyNxQVO,0,4,166867,0.911,audio_features
3DNRdudZ2SstnDCVKFdXxG,3DNRdudZ2SstnDCVKFdXxG,"ludwig van beethoven, paul lewis",ludwig van beethoven paul lewis,"sonata no. 14 ""moonlight"" in c-sharp minor"", op. 27 no. 2: i. adagio sostenuto",sonata no 14 moonlight in csharp minor op 27 no 2 i adagio sostenuto,ludwig van beethoven paul lewis_sonata no 14 moonlight in csharp minor op 27 no 2 i adagio sostenuto,0.00527,170.612,0.184,classical,-37.264,0.173,0.151,3,0.0432,68,https://api.spotify.com/v1/tracks/3DNRdudZ2SstnDCVKFdXxG,spotify:track:3DNRdudZ2SstnDCVKFdXxG,"Beethoven: Piano Sonatas, Vol.3",2007-09-25T00:00:00Z,0.887,4bNwPPpk01D8pVV9IFSBde,0,1,315427,0.995,audio_features
1BncfTJAWxrsxyT9culBrj,1BncfTJAWxrsxyT9culBrj,"ludovico einaudi, daniel hope, i virtuosi italiani",ludovico einaudi daniel hope i virtuosi italiani,experience,experience,ludovico einaudi daniel hope i virtuosi italiani_experience,0.449,92.468,0.447,classical,-10.634,0.0697,0.036,4,0.0376,75,https://api.spotify.com/v1/tracks/1BncfTJAWxrsxyT9culBrj,spotify:track:1BncfTJAWxrsxyT9culBrj,In A Time Lapse,2013-01-01T00:00:00Z,0.961,3uJ6D2WOPdjwJ0SrsH9EiG,1,2,315427,0.934,audio_features
3tFed7YsjGnIfxeLEQwx3R,3tFed7YsjGnIfxeLEQwx3R,"tyler, the creator, glorilla, sexyy red, lil wayne",tyler the creator glorilla sexyy red lil wayne,"sticky (feat. glorilla, sexyy red & lil wayne)",sticky feat glorilla sexyy red  lil wayne,tyler the creator glorilla sexyy red lil wayne_sticky feat glorilla sexyy red  lil wayne,0.812,80.09,0.505,hip-hop,-3.986,0.444,0.664,4,0.461,88,https://api.spotify.com/v1/tracks/3tFed7YsjGnIfxeLEQwx3R,spotify:track:3tFed7YsjGnIfxeLEQwx3R,CHROMAKOPIA,2024-10-28T00:00:00Z,0,0U28P0QVB1QRxpqp5IHOlH,1,1,255916,0.285,audio_features
2EKL77lwxvo615Ga7VjEUl,2EKL77lwxvo615Ga7VjEUl,gunna,gunna,him all along,him all along,gunna_him all along,0.507,130.007,0.872,hip-hop,-6.323,0.111,0.506,4,0.072,76,https://api.spotify.com/v1/tracks/2EKL77lwxvo615Ga7VjEUl,spotify:track:2EKL77lwxvo615Ga7VjEUl,HIM ALL ALONG,2024-10-18T00:00:00Z,0,5HoNV9xqGbGufrIFH271dR,0,4,158667,0.195,audio_features
4CkbpelT92r4dVkceDX9g1,4CkbpelT92r4dVkceDX9g1,bigxthaplug,bigxthaplug,leave me alone,leave me alone,bigxthaplug_leave me alone,0.802,128.085,0.835,hip-hop,-4.286,0.0882,0.374,4,0.243,71,https://api.spotify.com/v1/tracks/4CkbpelT92r4dVkceDX9g1,spotify:track:4CkbpelT92r4dVkceDX9g1,TAKE CARE,2024-10-11T00:00:00Z,7.33E-6,6LU7SYL9BWAt3TgEK4DdAc,1,7,143778,0.0311,audio_features
2t4H61OtTYgmDe61KxkjKH,2t4H61OtTYgmDe61KxkjKH,future,future,plutoski,plutoski,future_plutoski,0.533,120.011,0.794,hip-hop,-8.206,0.207,0.15,4,0.0591,73,https://api.spotify.com/v1/tracks/2t4H61OtTYgmDe61KxkjKH,spotify:track:2t4H61OtTYgmDe61KxkjKH,MIXTAPE PLUTO,2024-09-20T00:00:00Z,2.76E-5,4Zoxsc06EUHRf5GrJPJZ54,1,9,179023,0.14,audio_features
1Es7AUAhQvapIcoh3qMKDL,1Es7AUAhQvapIcoh3qMKDL,"the weeknd, playboi carti",the weeknd playboi carti,timeless (with playboi carti),timeless with playboi carti,the weeknd playboi carti_timeless with playboi carti,0.722,119.973,0.769,hip-hop,-5.485,0.111,0.57,4,0.0507,92,https://api.spotify.com/v1/tracks/1Es7AUAhQvapIcoh3qMKDL,spotify:track:1Es7AUAhQvapIcoh3qMKDL,Timeless,2024-09-27T00:00:00Z,2.56E-6,2IRxVVqbSbqHJo8Zx50LYn,0,11,256000,0.0584,audio_features
