id,track_id,track_artist,artist_clean,track_name_hp,track_name_clean,artist_track_key,energy_hp,tempo_hp,danceability_hp,playlist_genre,loudness_hp,liveness_hp,valence_hp,time_signature_hp,speechiness_hp,popularity_hp,track_href,uri,track_album_name,track_album_release_date,instrumentalness_hp,track_album_id,mode_hp,key_hp,duration_ms_hp,acousticness_hp,type,Archive,Column,artists,artists_clean,album_name,track_name_sp,track_clean,popularity_sp,duration_ms_sp,explicit,danceability_sp,energy_sp,key_sp,loudness_sp,mode_sp,speechiness_sp,acousticness_sp,instrumentalness_sp,liveness_sp,valence_sp,tempo_sp,time_signature_sp,track_genre,release_date_parsed,release_year_hp,years_since_release,popularity_difference
4alHo6RGd0D3OUbTPExTHN,4alHo6RGd0D3OUbTPExTHN,the cars,the cars,just what i needed,just what i needed,the cars_just what i needed,0.579,127.215,0.62,rock,-9.307,0.0858,0.691,4,0.0473,69,https://api.spotify.com/v1/tracks/4alHo6RGd0D3OUbTPExTHN,spotify:track:4alHo6RGd0D3OUbTPExTHN,The Cars,1978-06-06T00:00:00Z,6.4e-05,4tJPWT4r4FSKwy784Qs1Fq,1,4,225627,0.0152,audio_features,spotifytracksdataset.zip,82068,the cars,the cars,the cars,just what i needed,just what i needed,71,225626,False,0.619,0.579,4,-9.307,1,0.0473,0.0152,6.4e-05,0.0858,0.69,127,4,power-pop,1978-06-06 00:00:00+00:00,1978,45,-2
59WN2psjkt1tyaxjspN8fp,59WN2psjkt1tyaxjspN8fp,rage against the machine,rage against the machine,killing in the name,killing in the name,rage against the machine_killing in the name,0.833,88.785,0.466,rock,-4.215,0.0327,0.661,4,0.304,78,https://api.spotify.com/v1/tracks/59WN2psjkt1tyaxjspN8fp,spotify:track:59WN2psjkt1tyaxjspN8fp,Rage Against The Machine - XX (20th Anniversary Special Edition),1992-01-01T00:00:00Z,0.0,4Io5vWtmV1rFj4yirKb4y4,1,7,313573,0.0266,audio_features,spotifytracksdataset.zip,2366,rage against the machine,rage against the machine,rage against the machine - xx (20th anniversary special edition),killing in the name,killing in the name,80,313573,True,0.466,0.833,7,-4.215,1,0.304,0.0266,0.0,0.0327,0.661,89,4,alt-rock,1992-01-01 00:00:00+00:00,1992,31,-2
59WN2psjkt1tyaxjspN8fp,59WN2psjkt1tyaxjspN8fp,rage against the machine,rage against the machine,killing in the name,killing in the name,rage against the machine_killing in the name,0.833,88.785,0.466,rock,-4.215,0.0327,0.661,4,0.304,78,https://api.spotify.com/v1/tracks/59WN2psjkt1tyaxjspN8fp,spotify:track:59WN2psjkt1tyaxjspN8fp,Rage Against The Machine - XX (20th Anniversary Special Edition),1992-01-01T00:00:00Z,0.0,4Io5vWtmV1rFj4yirKb4y4,1,7,313573,0.0266,audio_features,spotifytracksdataset.zip,3617,rage against the machine,rage against the machine,rage against the machine - xx (20th anniversary special edition),killing in the name,killing in the name,80,313573,True,0.466,0.833,7,-4.215,1,0.304,0.0266,0.0,0.0327,0.661,89,4,alternative,1992-01-01 00:00:00+00:00,1992,31,-2
59WN2psjkt1tyaxjspN8fp,59WN2psjkt1tyaxjspN8fp,rage against the machine,rage against the machine,killing in the name,killing in the name,rage against the machine_killing in the name,0.833,88.785,0.466,rock,-4.215,0.0327,0.661,4,0.304,78,https://api.spotify.com/v1/tracks/59WN2psjkt1tyaxjspN8fp,spotify:track:59WN2psjkt1tyaxjspN8fp,Rage Against The Machine - XX (20th Anniversary Special Edition),1992-01-01T00:00:00Z,0.0,4Io5vWtmV1rFj4yirKb4y4,1,7,313573,0.0266,audio_features,spotifytracksdataset.zip,37457,rage against the machine,rage against the machine,rage against the machine - xx (20th anniversary special edition),killing in the name,killing in the name,80,313573,True,0.466,0.833,7,-4.215,1,0.304,0.0266,0.0,0.0327,0.661,89,4,funk,1992-01-01 00:00:00+00:00,1992,31,-2
59WN2psjkt1tyaxjspN8fp,59WN2psjkt1tyaxjspN8fp,rage against the machine,rage against the machine,killing in the name,killing in the name,rage against the machine_killing in the name,0.833,88.785,0.466,rock,-4.215,0.0327,0.661,4,0.304,78,https://api.spotify.com/v1/tracks/59WN2psjkt1tyaxjspN8fp,spotify:track:59WN2psjkt1tyaxjspN8fp,Rage Against The Machine - XX (20th Anniversary Special Edition),1992-01-01T00:00:00Z,0.0,4Io5vWtmV1rFj4yirKb4y4,1,7,313573,0.0266,audio_features,spotifytracksdataset.zip,71227,rage against the machine,rage against the machine,rage against the machine - xx (20th anniversary special edition),killing in the name,killing in the name,80,313573,True,0.466,0.833,7,-4.215,1,0.304,0.0266,0.0,0.0327,0.661,89,4,metal,1992-01-01 00:00:00+00:00,1992,31,-2
2EqlS6tkEnglzr7tkKAAYD,2EqlS6tkEnglzr7tkKAAYD,the beatles,the beatles,come together - remastered 2009,come together  remastered 2009,the beatles_come together  remastered 2009,0.376,164.775,0.53,rock,-11.913,0.0926,0.188,4,0.04,75,https://api.spotify.com/v1/tracks/2EqlS6tkEnglzr7tkKAAYD,spotify:track:2EqlS6tkEnglzr7tkKAAYD,Abbey Road (Remastered),1969-09-26T00:00:00Z,0.247,0ETFjACtuP2ADo6LFhL6HN,0,9,259947,0.0304,audio_features,spotifytracksdataset.zip,11055,the beatles,the beatles,abbey road (remastered),come together - remastered 2009,come together remastered 2009,77,259946,False,0.533,0.376,9,-11.913,0,0.0393,0.0302,0.248,0.0926,0.187,165,4,british,1969-09-26 00:00:00+00:00,1969,54,-2
2EqlS6tkEnglzr7tkKAAYD,2EqlS6tkEnglzr7tkKAAYD,the beatles,the beatles,come together - remastered 2009,come together  remastered 2009,the beatles_come together  remastered 2009,0.376,164.775,0.53,rock,-11.913,0.0926,0.188,4,0.04,75,https://api.spotify.com/v1/tracks/2EqlS6tkEnglzr7tkKAAYD,spotify:track:2EqlS6tkEnglzr7tkKAAYD,Abbey Road (Remastered),1969-09-26T00:00:00Z,0.247,0ETFjACtuP2ADo6LFhL6HN,0,9,259947,0.0304,audio_features,spotifytracksdataset.zip,84106,the beatles,the beatles,abbey road (remastered),come together - remastered 2009,come together remastered 2009,77,259946,False,0.533,0.376,9,-11.913,0,0.0393,0.0302,0.248,0.0926,0.187,165,4,psych-rock,1969-09-26 00:00:00+00:00,1969,54,-2
4DMKwE2E2iYDKY01C335Uw,4DMKwE2E2iYDKY01C335Uw,kansas,kansas,carry on wayward son,carry on wayward son,kansas_carry on wayward son,0.786,126.755,0.482,rock,-5.735,0.446,0.793,4,0.032,73,https://api.spotify.com/v1/tracks/4DMKwE2E2iYDKY01C335Uw,spotify:track:4DMKwE2E2iYDKY01C335Uw,Leftoverture (Expanded Edition),1976-01-01T00:00:00Z,8.88e-05,7MejfRSNnrpcLZIxkeZDqR,1,7,323000,0.00321,audio_features,spotifytracksdataset.zip,47210,kansas,kansas,leftoverture (expanded edition),carry on wayward son,carry on wayward son,76,323000,False,0.482,0.786,7,-5.735,1,0.032,0.00321,8.88e-05,0.446,0.793,127,4,hard-rock,1976-01-01 00:00:00+00:00,1976,47,-3
1FTSo4v6BOZH9QxKc3MbVM,1FTSo4v6BOZH9QxKc3MbVM,blur,blur,song 2 - 2012 remaster,song 2  2012 remaster,blur_song 2  2012 remaster,0.789,129.802,0.674,rock,-6.903,0.0753,0.918,4,0.0676,78,https://api.spotify.com/v1/tracks/1FTSo4v6BOZH9QxKc3MbVM,spotify:track:1FTSo4v6BOZH9QxKc3MbVM,Blur (Special Edition),1997-02-10T00:00:00Z,0.00708,7HvIrSkKGJCzd8AKyjTJ6Q,1,8,121160,0.00178,audio_features,spotifytracksdataset.zip,2619,blur,blur,blur (special edition),song 2 - 2012 remaster,song 2 2012 remaster,78,121160,False,0.674,0.789,8,-6.903,1,0.0676,0.00178,0.00708,0.0753,0.918,130,4,alt-rock,1997-02-10 00:00:00+00:00,1997,26,0
7wCmS9TTVUcIhRalDYFgPy,7wCmS9TTVUcIhRalDYFgPy,pixies,pixies,where is my mind? - 2007 remaster,where is my mind  2007 remaster,pixies_where is my mind  2007 remaster,0.441,81.334,0.519,rock,-14.178,0.076,0.25,4,0.0353,76,https://api.spotify.com/v1/tracks/7wCmS9TTVUcIhRalDYFgPy,spotify:track:7wCmS9TTVUcIhRalDYFgPy,Surfer Rosa (2007 Remaster),1988-03-21T00:00:00Z,0.000453,50j4Wm1b9hLpSpPIA39Vp9,1,4,234973,0.0204,audio_features,spotifytracksdataset.zip,2311,pixies,pixies,surfer rosa,where is my mind? - remastered,where is my mind remastered,79,234973,False,0.519,0.441,4,-14.178,1,0.0353,0.0204,0.000453,0.076,0.25,81,4,alt-rock,1988-03-21 00:00:00+00:00,1988,35,-3
7wCmS9TTVUcIhRalDYFgPy,7wCmS9TTVUcIhRalDYFgPy,pixies,pixies,where is my mind? - 2007 remaster,where is my mind  2007 remaster,pixies_where is my mind  2007 remaster,0.441,81.334,0.519,rock,-14.178,0.076,0.25,4,0.0353,76,https://api.spotify.com/v1/tracks/7wCmS9TTVUcIhRalDYFgPy,spotify:track:7wCmS9TTVUcIhRalDYFgPy,Surfer Rosa (2007 Remaster),1988-03-21T00:00:00Z,0.000453,50j4Wm1b9hLpSpPIA39Vp9,1,4,234973,0.0204,audio_features,spotifytracksdataset.zip,3560,pixies,pixies,surfer rosa,where is my mind? - remastered,where is my mind remastered,79,234973,False,0.519,0.441,4,-14.178,1,0.0353,0.0204,0.000453,0.076,0.25,81,4,alternative,1988-03-21 00:00:00+00:00,1988,35,-3
39shmbIHICJ2Wxnk1fPSdz,39shmbIHICJ2Wxnk1fPSdz,the clash,the clash,should i stay or should i go - remastered,should i stay or should i go  remastered,the clash_should i stay or should i go  remastered,0.836,113.375,0.743,rock,-6.465,0.384,0.82,4,0.116,80,https://api.spotify.com/v1/tracks/39shmbIHICJ2Wxnk1fPSdz,spotify:track:39shmbIHICJ2Wxnk1fPSdz,Combat Rock (Remastered),1982-01-01T00:00:00Z,0.0,1ZH5g1RDq3GY1OvyD0w0s2,1,2,188987,0.0804,audio_features,spotifytracksdataset.zip,85061,the clash,the clash,combat rock (remastered),should i stay or should i go - remastered,should i stay or should i go remastered,80,188986,False,0.743,0.836,2,-6.465,1,0.116,0.0804,0.0,0.384,0.82,113,4,punk-rock,1982-01-01 00:00:00+00:00,1982,41,0
39shmbIHICJ2Wxnk1fPSdz,39shmbIHICJ2Wxnk1fPSdz,the clash,the clash,should i stay or should i go - remastered,should i stay or should i go  remastered,the clash_should i stay or should i go  remastered,0.836,113.375,0.743,rock,-6.465,0.384,0.82,4,0.116,80,https://api.spotify.com/v1/tracks/39shmbIHICJ2Wxnk1fPSdz,spotify:track:39shmbIHICJ2Wxnk1fPSdz,Combat Rock (Remastered),1982-01-01T00:00:00Z,0.0,1ZH5g1RDq3GY1OvyD0w0s2,1,2,188987,0.0804,audio_features,spotifytracksdataset.zip,86105,the clash,the clash,combat rock (remastered),should i stay or should i go - remastered,should i stay or should i go remastered,80,188986,False,0.743,0.836,2,-6.465,1,0.116,0.0804,0.0,0.384,0.82,113,4,punk,1982-01-01 00:00:00+00:00,1982,41,0
39shmbIHICJ2Wxnk1fPSdz,39shmbIHICJ2Wxnk1fPSdz,the clash,the clash,should i stay or should i go - remastered,should i stay or should i go  remastered,the clash_should i stay or should i go  remastered,0.836,113.375,0.743,rock,-6.465,0.384,0.82,4,0.116,80,https://api.spotify.com/v1/tracks/39shmbIHICJ2Wxnk1fPSdz,spotify:track:39shmbIHICJ2Wxnk1fPSdz,Combat Rock (Remastered),1982-01-01T00:00:00Z,0.0,1ZH5g1RDq3GY1OvyD0w0s2,1,2,188987,0.0804,audio_features,spotifytracksdataset.zip,85061,the clash,the clash,combat rock (remastered),should i stay or should i go - remastered,should i stay or should i go remastered,80,188986,False,0.743,0.836,2,-6.465,1,0.116,0.0804,0.0,0.384,0.82,113,4,punk-rock,1982-01-01 00:00:00+00:00,1982,41,0
39shmbIHICJ2Wxnk1fPSdz,39shmbIHICJ2Wxnk1fPSdz,the clash,the clash,should i stay or should i go - remastered,should i stay or should i go  remastered,the clash_should i stay or should i go  remastered,0.836,113.375,0.743,rock,-6.465,0.384,0.82,4,0.116,80,https://api.spotify.com/v1/tracks/39shmbIHICJ2Wxnk1fPSdz,spotify:track:39shmbIHICJ2Wxnk1fPSdz,Combat Rock (Remastered),1982-01-01T00:00:00Z,0.0,1ZH5g1RDq3GY1OvyD0w0s2,1,2,188987,0.0804,audio_features,spotifytracksdataset.zip,86105,the clash,the clash,combat rock (remastered),should i stay or should i go - remastered,should i stay or should i go remastered,80,188986,False,0.743,0.836,2,-6.465,1,0.116,0.0804,0.0,0.384,0.82,113,4,punk,1982-01-01 00:00:00+00:00,1982,41,0
1qRA5BS78u3gME0loMl9AA,1qRA5BS78u3gME0loMl9AA,buffalo springfield,buffalo springfield,for what it's worth,for what its worth,buffalo springfield_for what its worth,0.519,98.883,0.653,rock,-10.164,0.101,0.822,4,0.0497,76,https://api.spotify.com/v1/tracks/1qRA5BS78u3gME0loMl9AA,spotify:track:1qRA5BS78u3gME0loMl9AA,Buffalo Springfield,1966-12-05T00:00:00Z,0.0209,3PkdGRruLnJ9zCtANiDrpB,1,2,153693,0.406,audio_features,spotifytracksdataset.zip,8309,buffalo springfield,buffalo springfield,buffalo springfield,for what it's worth,for what its worth,78,153693,False,0.653,0.519,2,-10.164,1,0.0497,0.406,0.0209,0.101,0.822,99,4,blues,1966-12-05 00:00:00+00:00,1966,57,-2
