id,track_id,track_artist,artist_clean,track_name_hp,track_name_clean,artist_track_key,energy_hp,tempo_hp,danceability_hp,playlist_genre,loudness_hp,liveness_hp,valence_hp,time_signature_hp,speechiness_hp,popularity_hp,track_href,uri,track_album_name,track_album_release_date,instrumentalness_hp,track_album_id,mode_hp,key_hp,duration_ms_hp,acousticness_hp,type,Archive,Column,artists,artists_clean,album_name,track_name_sp,track_clean,popularity_sp,duration_ms_sp,explicit,danceability_sp,energy_sp,key_sp,loudness_sp,mode_sp,speechiness_sp,acousticness_sp,instrumentalness_sp,liveness_sp,valence_sp,tempo_sp,time_signature_sp,track_genre,release_date_parsed,release_year_hp,years_since_release,popularity_difference
3dPQuX8Gs42Y7b454ybpMR,3dPQuX8Gs42Y7b454ybpMR,the white stripes,the white stripes,seven nation army,seven nation army,the white stripes_seven nation army,0.446,123.596,0.743,rock,-7.807,0.337,0.278,4,0.0683,82,https://api.spotify.com/v1/tracks/3dPQuX8Gs42Y7b454ybpMR,spotify:track:3dPQuX8Gs42Y7b454ybpMR,Elephant,2003-04-01T00:00:00Z,0.118,6D9urpsOWWKtYvF6PaorGE,0,4,232107,0.0039,audio_features,spotifytracksdataset.zip,91514,the white stripes,the white stripes,elephant,seven nation army,seven nation army,84,232106,False,0.743,0.446,4,-7.807,0,0.0683,0.0039,0.118,0.337,0.278,124,4,rock,2003-04-01 00:00:00+00:00,2003,20,-2
70LcF31zb1H0PyJoS1Sx1r,70LcF31zb1H0PyJoS1Sx1r,radiohead,radiohead,creep,creep,radiohead_creep,0.43,91.844,0.515,rock,-9.935,0.129,0.104,4,0.0372,86,https://api.spotify.com/v1/tracks/70LcF31zb1H0PyJoS1Sx1r,spotify:track:70LcF31zb1H0PyJoS1Sx1r,Pablo Honey,1993-02-22T00:00:00Z,0.000133,3gBVdu4a1MMJVMy6vwPEb8,1,7,238640,0.0097,audio_features,spotifytracksdataset.zip,2053,radiohead,radiohead,pablo honey,creep,creep,85,238640,True,0.515,0.43,7,-9.935,1,0.0372,0.0097,0.000133,0.129,0.104,92,4,alt-rock,1993-02-22 00:00:00+00:00,1993,30,1
70LcF31zb1H0PyJoS1Sx1r,70LcF31zb1H0PyJoS1Sx1r,radiohead,radiohead,creep,creep,radiohead_creep,0.43,91.844,0.515,rock,-9.935,0.129,0.104,4,0.0372,86,https://api.spotify.com/v1/tracks/70LcF31zb1H0PyJoS1Sx1r,spotify:track:70LcF31zb1H0PyJoS1Sx1r,Pablo Honey,1993-02-22T00:00:00Z,0.000133,3gBVdu4a1MMJVMy6vwPEb8,1,7,238640,0.0097,audio_features,spotifytracksdataset.zip,3154,radiohead,radiohead,pablo honey,creep,creep,85,238640,True,0.515,0.43,7,-9.935,1,0.0372,0.0097,0.000133,0.129,0.104,92,4,alternative,1993-02-22 00:00:00+00:00,1993,30,1
70LcF31zb1H0PyJoS1Sx1r,70LcF31zb1H0PyJoS1Sx1r,radiohead,radiohead,creep,creep,radiohead_creep,0.43,91.844,0.515,rock,-9.935,0.129,0.104,4,0.0372,86,https://api.spotify.com/v1/tracks/70LcF31zb1H0PyJoS1Sx1r,spotify:track:70LcF31zb1H0PyJoS1Sx1r,Pablo Honey,1993-02-22T00:00:00Z,0.000133,3gBVdu4a1MMJVMy6vwPEb8,1,7,238640,0.0097,audio_features,spotifytracksdataset.zip,57412,radiohead,radiohead,pablo honey,creep,creep,85,238640,True,0.515,0.43,7,-9.935,1,0.0372,0.0097,0.000133,0.129,0.104,92,4,indie,1993-02-22 00:00:00+00:00,1993,30,1
70LcF31zb1H0PyJoS1Sx1r,70LcF31zb1H0PyJoS1Sx1r,radiohead,radiohead,creep,creep,radiohead_creep,0.43,91.844,0.515,rock,-9.935,0.129,0.104,4,0.0372,86,https://api.spotify.com/v1/tracks/70LcF31zb1H0PyJoS1Sx1r,spotify:track:70LcF31zb1H0PyJoS1Sx1r,Pablo Honey,1993-02-22T00:00:00Z,0.000133,3gBVdu4a1MMJVMy6vwPEb8,1,7,238640,0.0097,audio_features,spotifytracksdataset.zip,91453,radiohead,radiohead,pablo honey,creep,creep,85,238640,True,0.515,0.43,7,-9.935,1,0.0372,0.0097,0.000133,0.129,0.104,92,4,rock,1993-02-22 00:00:00+00:00,1993,30,1
48UPSzbZjgc449aqz8bxox,48UPSzbZjgc449aqz8bxox,red hot chili peppers,red hot chili peppers,californication,californication,red hot chili peppers_californication,0.767,96.483,0.592,rock,-2.788,0.127,0.328,4,0.027,81,https://api.spotify.com/v1/tracks/48UPSzbZjgc449aqz8bxox,spotify:track:48UPSzbZjgc449aqz8bxox,Californication (Deluxe Edition),1999-06-08T00:00:00Z,0.00165,2Y9IRtehByVkegoD7TcLfi,0,9,329733,0.0021,audio_features,spotifytracksdataset.zip,2105,red hot chili peppers,red hot chili peppers,californication (deluxe edition),californication,californication,82,329733,False,0.592,0.767,9,-2.788,0,0.027,0.0021,0.00165,0.127,0.328,96,4,alt-rock,1999-06-08 00:00:00+00:00,1999,24,-1
48UPSzbZjgc449aqz8bxox,48UPSzbZjgc449aqz8bxox,red hot chili peppers,red hot chili peppers,californication,californication,red hot chili peppers_californication,0.767,96.483,0.592,rock,-2.788,0.127,0.328,4,0.027,81,https://api.spotify.com/v1/tracks/48UPSzbZjgc449aqz8bxox,spotify:track:48UPSzbZjgc449aqz8bxox,Californication (Deluxe Edition),1999-06-08T00:00:00Z,0.00165,2Y9IRtehByVkegoD7TcLfi,0,9,329733,0.0021,audio_features,spotifytracksdataset.zip,3216,red hot chili peppers,red hot chili peppers,californication (deluxe edition),californication,californication,82,329733,False,0.592,0.767,9,-2.788,0,0.027,0.0021,0.00165,0.127,0.328,96,4,alternative,1999-06-08 00:00:00+00:00,1999,24,-1
48UPSzbZjgc449aqz8bxox,48UPSzbZjgc449aqz8bxox,red hot chili peppers,red hot chili peppers,californication,californication,red hot chili peppers_californication,0.767,96.483,0.592,rock,-2.788,0.127,0.328,4,0.027,81,https://api.spotify.com/v1/tracks/48UPSzbZjgc449aqz8bxox,spotify:track:48UPSzbZjgc449aqz8bxox,Californication (Deluxe Edition),1999-06-08T00:00:00Z,0.00165,2Y9IRtehByVkegoD7TcLfi,0,9,329733,0.0021,audio_features,spotifytracksdataset.zip,37154,red hot chili peppers,red hot chili peppers,californication (deluxe edition),californication,californication,82,329733,False,0.592,0.767,9,-2.788,0,0.027,0.0021,0.00165,0.127,0.328,96,4,funk,1999-06-08 00:00:00+00:00,1999,24,-1
48UPSzbZjgc449aqz8bxox,48UPSzbZjgc449aqz8bxox,red hot chili peppers,red hot chili peppers,californication,californication,red hot chili peppers_californication,0.767,96.483,0.592,rock,-2.788,0.127,0.328,4,0.027,81,https://api.spotify.com/v1/tracks/48UPSzbZjgc449aqz8bxox,spotify:track:48UPSzbZjgc449aqz8bxox,Californication (Deluxe Edition),1999-06-08T00:00:00Z,0.00165,2Y9IRtehByVkegoD7TcLfi,0,9,329733,0.0021,audio_features,spotifytracksdataset.zip,71155,red hot chili peppers,red hot chili peppers,californication (deluxe edition),californication,californication,82,329733,False,0.592,0.767,9,-2.788,0,0.027,0.0021,0.00165,0.127,0.328,96,4,metal,1999-06-08 00:00:00+00:00,1999,24,-1
48UPSzbZjgc449aqz8bxox,48UPSzbZjgc449aqz8bxox,red hot chili peppers,red hot chili peppers,californication,californication,red hot chili peppers_californication,0.767,96.483,0.592,rock,-2.788,0.127,0.328,4,0.027,81,https://api.spotify.com/v1/tracks/48UPSzbZjgc449aqz8bxox,spotify:track:48UPSzbZjgc449aqz8bxox,Californication (Deluxe Edition),1999-06-08T00:00:00Z,0.00165,2Y9IRtehByVkegoD7TcLfi,0,9,329733,0.0021,audio_features,spotifytracksdataset.zip,91755,red hot chili peppers,red hot chili peppers,californication (deluxe edition),californication,californication,82,329733,False,0.592,0.767,9,-2.788,0,0.027,0.0021,0.00165,0.127,0.328,96,4,rock,1999-06-08 00:00:00+00:00,1999,24,-1
